hy2foam_t_tr,,hy2foam_t_v,
X,Y,X,Y
0,2.4342105263157947,0.003978779840848379,2.2368421052631646
-0.03978779840848823,8.750000000000004,-0.11140583554376704,3.2894736842105274
-0.09549071618037175,13.486842105263165,-0.3899204244031833,3.35526315789474
-0.19098143236074305,19.14473684210527,-0.7679045092838197,2.9605263157894797
-0.3580901856763927,23.6842105263158,-1.1697612732095495,1.3157894736842124
-0.6167108753315653,25.986842105263168,-1.5079575596816979,1.1842105263157947
-0.44164456233421756,24.9342105263158,-1.9814323607427058,1.1184210526315894
-0.7718832891246685,25.723684210526326,-2.427055702917772,1.05263157894737
-0.9111405835543769,18.81578947368422,-2.996021220159151,1.1184210526315894
-0.9867374005305045,10.986842105263165,,
-1.0424403183023871,5.723684210526322,,
-1.149867374005305,1.1842105263157947,,
-1.527851458885942,1.05263157894737,,
-1.9655172413793105,1.05263157894737,,
-2.4469496021220163,1.1184210526315894,,
-2.996021220159151,1.1184210526315894,,
