hy2foam_rho,
X,Y
-2.4000000000000004,1.0373831775700921
-2.007387862796834,0.9813084112149504
-1.5387862796833776,0.9532710280373831
-1.108179419525066,1.0093457943925213
-0.908707124010554,1.7943925233644844
-0.8232189973614774,3.5046728971962615
-0.7440633245382586,5.327102803738317
-0.661741424802111,5.77570093457944
-0.4907651715039578,6.11214953271028
-0.25963060686015815,7.4859813084112155
-0.13298153034300775,10.233644859813085
-0.0633245382585752,14.943925233644862
