LeMANS_t_tr,,LeMANS_t_v,
X,Y,X,Y
1.031067767412225e-9,4.934338952972492,1.0044332150721572e-9,29.921916592724045
2.5280333867912816e-9,4.95829636202307,2.2166603729309663e-9,29.850044365572312
7.923478613358632e-9,5.054125998225377,6.347488990157443e-9,29.682342502218276
2.8149090574412033e-8,5.221827861579413,1.781491258987994e-8,29.442768411712507
8.47994066249642e-8,6.156166814551909,4.300394105329397e-8,28.460514640638863
1.8563212425270196e-7,9.534161490683228,9.06172190636121e-8,26.35226264418811
3.145645763260424e-7,11.953859804791481,1.4124019296211436e-7,22.590949423247558
7.908545123312709e-7,12.02573203194321,1.875049333531445e-7,18.566104702750664
0.000002983547489179602,12.09760425909494,2.4277550617852364e-7,14.613132209405503
,,4.2704705290872337e-7,12.09760425909494
,,0.000001305217455476345,12.001774622892633
,,0.000002998613279186835,12.145519077196091
