williams_mole_fraction_n,,williams_mole_fraction_n2,
X,Y,X,Y
-0.0013157894736841869,0.2762430939226518,0,0.7237593292623823
0.10921052631578948,0.2764466414655422,0.11447368421052634,0.7239701463603759
0.2302631578947369,0.27666957448870777,0.22894736842105268,0.7260225840845205
0.33157894736842103,0.25107347097024313,0.3368421052631579,0.7501623533973053
0.42631578947368426,0.2328317340312105,0.43026315789473685,0.7669089851701074
0.5342105263157895,0.23118881457788099,0.5394736842105263,0.7689517301541144
0.6671052631578949,0.22959193564020508,0.6644736842105263,0.7710235533585341
0.668421052631579,0.11725550063002788,0.668421052631579,0.8907361636134533
0.668421052631579,0.0012334011825141378,0.6710526315789473,0.9993966269264318
0.8118421052631579,0.0014975283512645987,0.8368421052631578,0.9997019482407674
1.0026315789473683,0.0018488901812538927,0.9986842105263156,0.9981583793738487
