williams_t,,williams_tv,
X,Y,X,Y
0.0012062138570775593,7146.334617641807,0.0012062138570775593,7146.334617641807
0.11037320720666385,7161.6071407860345,0.11306631160679284,7147.874859951613
0.22627412137758898,7149.433659397683,0.23031957708286463,7163.258725913418
0.3273130890440987,6916.745727799287,0.3246176650019369,6916.708613526762
0.4202681042261559,6697.715848490262,0.41757731946805976,6725.217524431631
0.5563846987132945,6685.820724145851,0.5402121544603237,6685.598038510698
0.6642062996838329,6714.844085260764,0.6642062996838329,6714.844085260764
0.6666674398806777,5324.172293731633,0.6665143435065102,4415.3922166731245
0.6714853363828894,1923.2059308607504,0.6727936144894121,1689.1447711789124
0.7388825356470992,1992.9807632086222,0.7172147594183267,1373.0610692157989
0.7414063061788306,974.0826395670629,0.7400609137997826,987.8334775377471
0.8775252203080023,975.9569103295989,0.8680958754445015,1003.3658005896541
0.9974762294682683,1005.147285670877,0.9988193022052837,977.627052593245
