hy2foam_park_t_v,,hy2foam_park_t_tr,,hy2foam_cvdv_t_v,,hy2foam_cvdv_t_tr,,dsmc_t_v,,dsmc_t_tr,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
1.255358254068168e-9,1.2370467267423493,1.0101332912373407e-9,30.034016226731964,1.208554371847433e-9,1.176759733258102,9.911605853116938e-10,29.943502639340217,2.000284900174163e-9,1.2963988771160508,1.92849100438965e-9,29.881678348296415
1.0162320661951707e-8,2.138027742390747,6.765713104467303e-9,29.8185660511892,9.690673715430726e-9,2.1079465685226637,4.53890869424016e-9,29.54777316350239,6.141234626690038e-9,1.6863530999598666,5.811759350593904e-9,29.577418077252226
1.1012918259079282e-7,8.01889723360155,5.033159220592337e-8,28.96900140662057,1.0405302832824288e-7,7.53606115415262,2.637904504524211e-8,28.155417834662114,1.9950169504115455e-8,3.0119190821247983,1.9826983917105323e-8,28.608816743274666
3.7727393341717253e-7,15.773753224203528,2.6634307128974695e-7,25.373345511982418,3.185282644406366e-7,12.695252538316844,1.1325604913396863e-7,24.37910870248468,8.058900233561514e-8,5.604779159230933,7.887135583653208e-8,25.22507939465056
8.945803533177617e-7,18.820552341497187,0.0000010814293022888934,19.604948034115417,6.13483203050232e-7,13.720110653257649,3.2624950693748633e-7,20.150896410671557,4.0501999728377414e-7,8.58956701685868,3.948162846377167e-7,19.184559474450644
0.000004557162096221193,15.255164589349228,0.0000039136679890270146,15.406422204634818,0.0000024370374560496955,12.600251703994502,0.0000014839733492247033,15.257615955727982,8.179558872818856e-7,9.79543153229163,7.915311239896026e-7,16.828609415847037
0.000037000394485186526,11.32653835302759,0.00002411186910999509,11.900989057309577,0.000012283365939009905,10.876172490951461,0.00000777651223152791,12.084571469928548,0.000003998788093804201,11.331399537202408,0.000003995013632484285,12.870836848767858
0.00020904432477928832,9.511654712513973,0.00013115277960274767,9.965448332662081,0.00010953280224775965,9.120661775102892,0.00004972460830503359,9.997752355704126,0.000008006865592243562,10.997847515361258,0.000007927424302444537,11.75249442277292
0.0010044817743470877,8.180084960150229,0.0009855239703168129,8.240496599382546,0.0009952893945414053,7.666959963919751,0.0009672821104385362,7.697207332118602,0.00004033896253668986,9.998209390113725,0.00003920891237716777,9.817161441038884
,,,,,,,,0.00007777604267529805,9.272334876215385,0.00008002653645448924,9.272272553341349
,,,,,,,,0.00019944198277809875,8.666577314875937,0.0003994064410911688,8.091544930436282
,,,,,,,,0.0006127991670575901,7.788759634077621,,
