hy2foam_park_t_tr,,hy2foam_park_t_v,,hy2foam_cvdv_t_tr,,hy2foam_cvdv_t_v,,dsmc_t_tr,,dsmc_t_v,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
9.918450088929302e-10,29.91126620139581,1.0248694870936945e-9,29.9741373319586,1.0082220417847144e-9,29.848484418721075,1.000000000000004e-9,29.74378358523292,2.022237445674589e-9,29.745064238295072,1.973165823688653e-9,29.745019564351043
6.2601690306784816e-9,29.80993080502447,5.8154104140792745e-9,29.977294290669953,1.2453913132694243e-8,28.638699123114296,5.0597047815275065e-9,28.762684209108095,5.8632249614990735e-9,29.286381963639663,6.009040359006503e-9,29.118929130106125
3.855313898514285e-8,29.14324664697231,3.2197608331032164e-8,29.750097502655617,6.249925236178922e-8,25.54292882377051,1.7710136402556645e-8,26.39906028713291,2.0024640252328825e-8,28.15800748536751,2.0024640252328825e-8,27.215834005806194
2.0489060666610277e-7,26.69663342830683,1.9991873038110294e-7,28.455312582877255,2.662686625775462e-7,21.60937316074536,4.394998672396987e-8,23.197323392553493,7.925091177239229e-8,25.145554091636896,7.990251608046129e-8,23.11466170478607
8.242784935436126e-7,22.721099149209554,7.230610449017372e-7,24.01896657112588,9.869839709001871e-7,17.968684983456455,8.887730889011274e-8,19.953339838237774,3.9447280630321707e-7,20.081673188117012,4.009862172351862e-7,18.42766508440539
0.000003183060917310184,18.577992906061333,0.0000020288718806714907,19.624033305488936,0.000003874301873888913,14.977153886845862,2.0489060666610277e-7,17.02365237147732,7.977176802067012e-7,18.177669693621837,7.977176802067012e-7,16.649254937889033
0.000017914329954468294,14.519320417126995,0.000007644640048210475,15.962437722394693,0.000015084142477530393,12.969655755351297,3.604947997501994e-7,16.103443581063352,0.000003970653774338662,14.642203545834757,0.000004003300655583899,14.014102784108555
0.0000975733995980094,12.093689060840237,0.0000975733995980094,11.989003118666758,0.0000975733995980094,11.004955262236052,0.0000020623719751671662,14.389765979444313,0.000019926499377308252,12.342046407009416,0.000007834758325225371,13.05221320391599
,,,,,,0.000009773332500772801,12.738557442891807,0.00006068376896378715,11.255337827201181,0.000039641564160255,11.736118812836029
,,,,,,0.00009677768939200085,10.858380051878502,,,,
