modified_t_v,,modified_t_tr,,hy2foam_default_t_v,,hy2foam_default_t_tr,,monaco_t_v,,monaco_t_tr,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
1.006266377028974e-9,1.01428698771144,9.937893564873715e-10,9.9736570664516,1.006266377028974e-9,1.01428698771144,9.937893564873715e-10,9.9736570664516,1.0139862111103543e-9,1.0263709489144048,9.93772645919591e-10,9.985731689199229
2.0671488214729745e-9,1.0513886707557774,2.648896565743504e-9,9.986927011482056,2.3186670381328464e-9,1.0998272385763102,2.8163766066924742e-9,9.962852473629477,2.9401114340557166e-9,1.0880421079440534,2.9040466758644363e-9,9.950815204703186
5.103107107652353e-9,1.1370129677186576,9.161406243067993e-9,9.952215973003375,8.01631675428199e-9,1.3307579005454517,8.486334505409222e-9,9.915898720207144,9.271905207919338e-9,1.3430099539444367,9.022742675644524e-9,9.903898805102193
1.298807425129284e-8,1.3192716004839014,2.6979978505345733e-8,9.856935713224527,2.3055176004640023e-8,1.7425837808009845,3.1450519800038776e-8,9.760525500350193,2.6259585504448998e-8,1.791041025532186,2.5969331294113406e-8,9.772366661714456
3.084715322888266e-8,1.67049090561793,8.320977249578819e-8,9.604741388458518,7.044763578390928e-8,2.661618524099582,8.582018309610772e-8,9.423659401065434,8.399277913049016e-8,2.8791765180295865,8.323356202497441e-8,9.39947280174884
9.719260855652316e-8,2.5654137572426094,2.119614357176317e-7,9.171194261094723,1.52469123437885e-7,3.7372031326272896,2.509942799132648e-7,8.797086401935609,2.4115187674267196e-7,4.5226139185432,2.3607646940324606e-7,8.79701169429293
1.948856002907449e-7,3.4839348854978027,5.318406459200096e-7,8.58065836110109,3.199447434595258e-7,5.00594435129571,7.455030318042981e-7,8.073935097735426,7.645265015490462e-7,6.4801129104145,7.570491964171344e-7,8.037729906403209
4.1210370591499526e-7,4.740610819873931,0.0000013549930585497332,8.02636500626101,5.71820752508819e-7,6.032997007449541,0.0000021465428958009463,7.664686631152239,0.000002197286590395855,7.386998323322793,0.000002213064205851062,7.749246344206974
8.197346354934588e-7,5.912689687373984,0.000003961285939387949,7.689582953074263,0.0000012095951554357785,7.036105864125475,0.000007538705818231151,7.617919646836598,0.000006982735477320042,7.629900885030881,0.000006982852893989692,7.617826262283253
0.0000017742032540888754,6.964125050406435,0.000014126878097876009,7.642834645669292,0.000003148494249217907,7.592705817433198,0.000019940395244054918,7.643254876159348,0.000019487103358150748,7.655301483540973,,
0.000004478639131116289,7.544836895388077,,,0.00000771380515112593,7.63002228495023,,,,,,
0.00001412735319676243,7.618685400174035,,,0.000019190863126907235,7.655282806630304,,,,,,
