hy2foam_park_n,,hy2foam_park_n2,,hy2foam_cvdv_n,,hy2foam_cvdv_n2,,dsmc_n,,dsmc_n2,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
1.0053877545876443e-9,0.5030850667879737,1.0128967372510365e-9,0.49800421818783325,1.012993192814279e-9,0.5068971506554731,1.0205034482845527e-9,0.49673462635953813,2.0493408419228503e-9,0.5107861544187582,2.048894846596334e-9,0.49045945163558136
5.722167158357861e-9,0.5070882097514576,6.646784732083157e-9,0.4956709813489928,1.0666907834350525e-8,0.570677804888135,9.172074651710265e-9,0.47029816798312707,7.902187785170614e-9,0.5528588561267107,5.9838343823178995e-9,0.48295521277035647
3.841620022278079e-8,0.5352475083743432,3.9268447336686e-8,0.4844332327033619,5.684770916302289e-8,0.7347462884082541,6.10436421672133e-8,0.3853893552789378,4.115809534435795e-8,0.6737306149456181,2.0448852538855162e-8,0.44751912658698934
2.0615036101160574e-7,0.6434183863363796,2.2842046761684733e-7,0.42364749183243,1.9611919474074532e-7,0.8847921922170296,3.34236376142939e-7,0.27378024068483486,2.036224700684078e-7,0.8911484223150404,7.994089350509787e-8,0.37271494148298223
9.114115623807341e-7,0.8582829494231003,0.000001250498877586267,0.29806376907489307,6.765833821009837e-7,1.0335676771018565,0.0000026031038925391316,0.1685620942061945,6.183931757971168e-7,1.0348281708779616,4.0607525065830884e-7,0.2560158802365491
0.0000037661263661405193,1.061706298333402,0.000008508218945816234,0.17377445101525946,0.00000317384893073723,1.1823770729084815,0.000014694941017659286,0.10904346387659691,0.000002008630957374089,1.1569182415946402,8.028854628928928e-7,0.21797857822257094
0.00001918654098528923,1.2168768868119595,0.00010009526825752768,0.09019891650469325,0.000015449924830424188,1.2879963607791238,0.00010007076204050551,0.06733137587361937,0.0000060509558229366645,1.2446987304081714,0.000004019478811673001,0.14193126835118464
0.00010295668803334293,1.3225069269260987,,,0.00010147309644725155,1.366969935072991,,,0.00002024100936210853,1.3134345147016249,0.0000201284325691105,0.09256275588271734
,,,,,,,,0.00006004382313189643,1.3631007816053924,0.000060563085210338835,0.0672759604648272
