hy2foam_t_v,,hy2foam_t_tr,
X,Y,X,Y
1.0008403605670333e-9,2.056441326971253,1.0188724087358494e-9,29.618936576832034
2.056685421162558e-9,3.0127269184689567,2.9797272720334544e-9,29.07361368482291
4.777493720784214e-9,5.044086819417327,9.469025130667518e-9,27.331814670640895
1.0018631140584482e-8,8.394566946216681,2.560658585399611e-8,23.93151439274911
2.2558748885552366e-8,12.819778681513359,6.492428213758619e-8,20.10108158079106
6.156916744378488e-8,16.1413219965647,2.2138149492172533e-7,17.807277006009706
2.7543187939503225e-7,17.624574560258022,7.604203840211729e-7,17.662036058220473
1.3667710110986388e-7,17.282280564295814,0.000002341751432346865,17.66953264157488
8.929828970056561e-7,17.693800152833575,0.000008468493820819401,17.647407011274588
0.0000029514100919508255,17.671074795864925,,
0.000010138404847458648,17.67929961874519,,
