case_2a_dsmc_tv_tb_n2,,case_2a_dsmc_tv_tb_o2,
X,Y,X,Y
1.0025873357555573,0.0020524791787974728,1,0.0020314010871023136
1.055044119080679,0.10023949981688407,1.0537517685836313,0.10226563138106304
1.1107363894809783,0.2004895386796155,1.0997388951391285,0.19836328617988574
1.169015995636835,0.3007606556340422,1.1560806342397791,0.3026919357855936
1.220180428464909,0.40097380783630754,1.2085374175649006,0.4008789564236802
1.2674638576596466,0.5011553429010304,1.260348684331864,0.5010973781488692
1.3128081024184475,0.6033577400070084,1.3095726153432699,0.6012947217823633
1.3607370481713437,0.7015078739846288,1.3549155427213395,0.7014604482783151
1.4112546470605283,0.8017157566639703,1.4041394737327455,0.8016577919118091
1.461772245949713,0.901923639343312,1.4533620873634203,0.899818464935277
1.4941574164583007,0.9693972456203677,1.4812194202997828,0.9672551845518664
