case_1_dsmc_tv_tb,,case_1_hy2foam_tv_tb,
X,Y,X,Y
1.040357038164413,-0.00017173837730921626,1.0410395501638918,-0.0023391951392117694
1.087607299473237,0.07971029512351824,1.0780254824219848,0.07109376619300423
1.1410386618619401,0.19636210740755,1.1232341297453832,0.16613615300112805
1.1739250806134023,0.2763063220449896,1.1588550380045186,0.24390402785714915
1.2054435143594011,0.35625645869543965,1.192425449258712,0.32384528148808345
1.2369649091119053,0.44053558685668437,1.2239453635079638,0.4059599138939308
1.2671138773491886,0.5183271497647479,1.2636746682932463,0.4902035099771114
1.2972658065929772,0.6004477041836062,1.299307420578403,0.5852873508763098
1.3267307823275287,0.678242228098175,1.3328778318325967,0.665228604507244
1.3561972385653331,0.7582012477681412,1.3678221501052639,0.7538219191467563
1.3856636948031376,0.8381602674381075,1.4000290178637522,0.8402625820568927
1.415128670537689,0.9159547913526765,1.4267550625808725,0.9137399584866888
1.4548579753229718,1.000198387435857,1.4534855488077507,0.9937108221826763
