case_2b_dsmc_tv_tb_o2,,case_2b_dsmc_tv_tb_n2,
X,Y,X,Y
1.0686007397585315,0.0425040128410914,1.0679349570800474,0.04249842975783369
1.122605904110545,0.15826086956521734,1.1246046479168121,0.1603740665782677
1.170623211668644,0.28025682182985556,1.173952125061065,0.2802847372461442
1.2179747365482587,0.40224719101123607,1.221969432619164,0.40228068951078244
1.261995952264638,0.5221131970130505,1.267987996370996,0.5221634447623701
1.3060171679810175,0.6419792030148649,1.3113448251797055,0.644120315444204
1.3500383836973968,0.7618452090166794,1.3560304278037547,0.761895456765999
1.3940595994137763,0.881711215018494,1.4000530392909485,0.8838579105310908
1.4500621118012422,0.997484820992393,1.4547267778630748,1.0038132458650288
