case_1_dsmc_tr_tb,,case_1_hy2foam_tr_tb,
X,Y,X,Y
1.0721167281466577,0.03755868544600949,1.0728572825843954,0.039906103286385
1.106964704896043,0.11971830985915477,1.1077052593337806,0.1220657276995305
1.1388364911692377,0.20187793427230039,1.1395840319695956,0.19953051643192476
1.169971216186005,0.27934272300469476,1.1699747093673152,0.27699530516431925
1.1988703051643192,0.35915492957746475,1.198136737089202,0.352112676056338
1.227025346523586,0.43896713615023475,1.2300120165437067,0.4319248826291081
1.2544398334451152,0.5164319248826292,1.2581705510842836,0.5093896713615024
1.2825913816230718,0.5985915492957746,1.285592024368433,0.5821596244131455
1.310002375363291,0.6784037558685446,1.3159722222222223,0.6666666666666666
1.3374168622848202,0.755868544600939,1.3545020120724347,0.7746478873239437
1.3663124580818244,0.8380281690140845,1.391547199865862,0.8802816901408452
1.3974436899172815,0.9178403755868545,1.4204393024815563,0.9647887323943662
