toro_density,,toro_velocity,,toro_pressure,,toro_internalenergy,
X,Y,X,Y,X,Y,X,Y
0,0.9966555183946488,-0.005509641873278515,0.0033444816053509463,0.005494454670748938,1.003385472069855,0.0007307574902641889,0.7340042735438042
0.20329670329670324,1,0.20385674931129483,0.005288519122511159,0.20053834555864902,1.0074091888741914,0.2040293413007479,0.733319766527607
0.4807692307692307,0.43143812709030116,0.47933884297520635,0.9265227526097091,0.4771850632232284,0.30800395896733823,0.48296595040099133,0.20039405403905386
0.7307692307692307,0.42809364548495,0.9338842975206609,0.9234823147866627,0.9387100056424535,0.3129249183694234,0.7274737066054926,0.19957079560065516
0.7307692307692307,0.26421404682274263,0.9366391184573004,-0.0029575167915090184,0.9392742509874294,0.10753961279819402,0.7307759904539024,0.9975394747796162
0.9368131868131869,0.26421404682274263,1,-0.000036853791794522195,0.994228047618607,0.10435763904947715,0.934093074454013,0.9901208987392116
0.9368131868131869,0.1304347826086958,,,,,0.938570120343734,0.36047619488099736
0.9972527472527474,0.12709030100334462,,,,,0.9962537116005437,0.3636489774020184
